# Array shape: (5, 5, 6, 10)
#
#
# ========================== Block 1/10 ==========================
#
# 2-D slice -> max_value: 0.116234, min_value:-0.133566 
#
# -------- Slice 6/6 --------
-0.191093 -0.032862 -0.148820 0.040811 -0.160693
-0.137238 0.078157 -0.110860 -0.103026 0.029770
0.074577 -0.100635 0.044049 0.072696 -0.031473
0.026829 -0.087311 0.008321 0.131063 0.078113
0.096273 -0.092969 -0.072140 0.116298 0.064943
# 2-D slice -> max_value: 0.131063, min_value:-0.191093 
#
# ========================== Block 4/10 ==========================
#
# -------- Slice 1/6 --------
-0.155245 -0.081995 -0.069934 -0.016825 0.127134
0.064401 -0.097623 -0.181743 0.157745 -0.111355
-0.037716 -0.035323 0.051018 -0.181622 0.111558
-0.113776 0.011321 0.127978 0.043285 -0.114810
0.054657 0.001091 -0.000126 -0.169724 -0.116512
# 2-D slice -> max_value: 0.157745, min_value:-0.181743 
#
# -------- Slice 2/6 --------
-0.013283 0.088156 0.028055 0.099758 0.049616
-0.049885 0.066873 0.120018 0.156637 -0.033878
0.018642 -0.161720 0.060771 0.159104 0.072973
0.070960 0.025198 -0.137252 0.159974 0.003523
0.045085 -0.093393 -0.097544 -0.049272 -0.018734
# 2-D slice -> max_value: 0.159974, min_value:-0.161720 
#
# -------- Slice 3/6 --------
-0.000320 -0.057144 0.011286 0.040018 -0.116811
-0.145742 -0.102151 0.041278 -0.146635 -0.083255
-0.039513 0.111805 0.074807 0.043952 -0.070809
0.136057 0.127357 0.204359 0.101717 0.082814
0.025314 -0.006579 0.049623 -0.053684 -0.124982
# 2-D slice -> max_value: 0.204359, min_value:-0.146635 
#
# -------- Slice 4/6 --------
0.025613 -0.133269 0.047960 -0.110026 -0.051040
-0.039444 0.097531 -0.031305 -0.015617 -0.071209
-0.037914 0.033639 0.036930 -0.016567 -0.068020
0.118315 0.159451 0.099274 -0.029192 -0.001721
0.056389 -0.078505 -0.077564 -0.127453 0.142710
# 2-D slice -> max_value: 0.159451, min_value:-0.133269 
#
# -------- Slice 5/6 --------
0.006914 0.135381 -0.047549 -0.035715 -0.064469
-0.103750 -0.015763 -0.008301 0.046577 0.170730
0.077690 -0.030127 0.106074 0.037422 -0.133844
0.096210 -0.073906 0.042595 0.012811 0.033040
0.152600 -0.013161 -0.087266 -0.109941 -0.177445
# 2-D slice -> max_value: 0.170730, min_value:-0.177445 
#
# -------- Slice 6/6 --------
-0.129227 -0.010839 0.077943 -0.048151 0.077183
-0.041985 0.150147 -0.022592 -0.066481 -0.120362
0.143110 0.029326 0.042748 0.060921 0.012049
0.100895 0.154523 -0.014398 -0.124173 -0.113518
-0.056707 0.053699 0.010100 0.003122 0.140673
# 2-D slice -> max_value: 0.154523, min_value:-0.129227 
#
# ========================== Block 5/10 ==========================
#
# -------- Slice 1/6 --------
0.087800 0.062485 -0.091151 -0.086367 0.007761
0.101631 -0.036863 0.160093 -0.077971 0.034883
-0.026544 0.033938 -0.019333 -0.099347 0.040904
-0.051784 -0.020213 -0.015434 0.046433 -0.042889
0.057188 0.096013 -0.152410 0.085963 -0.051119
# 2-D slice -> max_value: 0.160093, min_value:-0.152410 
#
# -------- Slice 2/6 --------
-0.128212 -0.066274 0.042568 -0.009938 0.019967
0.099551 -0.124334 0.094014 0.035817 0.115442
0.148029 -0.131329 0.012768 -0.039567 0.026219
0.082083 -0.172478 -0.070550 0.046665 -0.139662
0.036903 0.064165 0.043687 0.152356 0.093201
# 2-D slice -> max_value: 0.152356, min_value:-0.172478 
#
# -------- Slice 3/6 --------
-0.058538 0.034404 0.071136 0.000521 0.014524
0.121524 -0.022159 0.060646 0.147576 0.103991
0.032121 -0.122162 0.020845 -0.038499 -0.157740
0.092318 -0.097491 -0.103144 -0.180403 -0.057889
0.051683 -0.046636 0.069138 -0.001331 -0.109021
# 2-D slice -> max_value: 0.147576, min_value:-0.180403 
#
# -------- Slice 4/6 --------
-0.044622 -0.061658 -0.013381 0.122973 0.123666
-0.058234 0.122824 -0.047734 0.062979 0.027815
0.113756 0.019093 0.004730 0.097115 0.026868
-0.058965 -0.126388 -0.010929 0.028947 0.118927
0.111085 0.120392 -0.130626 -0.067087 -0.005982
# 2-D slice -> max_value: 0.123666, min_value:-0.130626 
#
# -------- Slice 5/6 --------
0.093049 0.040514 -0.053368 -0.186858 0.066237
-0.187710 0.006916 0.004748 0.126968 0.083328
0.126386 0.031876 -0.140457 -0.176580 0.146017
-0.088641 -0.053269 -0.108509 0.081210 -0.064052
-0.008809 -0.088722 0.079812 0.089660 0.059030
# 2-D slice -> max_value: 0.146017, min_value:-0.187710 
#
# -------- Slice 6/6 --------
-0.048870 -0.080567 0.143078 -0.011510 0.011316
-0.145737 -0.014198 -0.110257 -0.061986 -0.005022
0.181861 0.124357 0.003844 -0.060474 0.128910
0.104579 0.100400 0.092504 0.144795 0.072688
-0.087593 -0.145384 -0.017939 -0.044834 0.021297
# 2-D slice -> max_value: 0.181861, min_value:-0.145737 
#
# ========================== Block 6/10 ==========================
#
# -------- Slice 1/6 --------
0.206292 -0.048897 0.099131 0.075013 0.122919
0.080122 0.165240 0.108458 0.068454 -0.010987
-0.081386 -0.004786 -0.129371 0.165579 0.061010
0.185686 0.019590 -0.130227 0.116102 0.060028
0.037373 -0.064924 0.187985 -0.188656 0.119720
# 2-D slice -> max_value: 0.206292, min_value:-0.188656 
#
# -------- Slice 2/6 --------
-0.024846 0.011262 -0.052112 0.028952 -0.099449
-0.028813 -0.064982 -0.085240 -0.023929 -0.153683
0.000165 -0.084647 0.064201 0.035223 0.009462
0.098462 -0.103450 -0.099918 -0.029990 -0.182326
0.022354 0.010789 -0.021268 -0.059192 -0.062358
# 2-D slice -> max_value: 0.098462, min_value:-0.182326 
#
# -------- Slice 3/6 --------
-0.114308 0.181901 0.132770 0.042382 -0.088295
0.119899 -0.001861 -0.030219 -0.015045 0.138196
0.118960 0.065216 0.088716 0.102689 0.162985
0.044720 0.064493 -0.005004 0.129864 0.025471
0.058191 -0.193402 -0.076067 -0.049043 0.192286
# 2-D slice -> max_value: 0.192286, min_value:-0.193402 
#
# -------- Slice 4/6 --------
-0.026599 0.052575 -0.051281 0.007753 0.088410
0.173341 -0.059865 0.190702 -0.021899 0.198461
-0.174599 0.036417 0.018278 0.048685 0.059890
-0.125987 0.068348 0.068167 0.047025 -0.067804
-0.120691 -0.150034 -0.026414 0.189654 -0.124562
# 2-D slice -> max_value: 0.198461, min_value:-0.174599 
#
# -------- Slice 5/6 --------
0.010514 0.037229 -0.014350 0.000411 -0.047462
-0.085152 0.041179 -0.055877 -0.132366 0.050402
-0.000375 0.072470 -0.156665 -0.145929 -0.100214
0.020339 -0.044191 0.078962 0.149283 -0.026489
-0.050900 0.140931 0.016581 0.022427 0.038387
# 2-D slice -> max_value: 0.149283, min_value:-0.156665 
#
# -------- Slice 6/6 --------
-0.102961 0.072583 0.028486 -0.169069 0.129886
-0.177838 0.098931 -0.006525 -0.128867 -0.080318
-0.129994 -0.023208 0.072050 0.045701 0.096295
0.167923 0.036525 -0.021468 -0.079729 0.068286
0.216470 0.002293 0.010086 -0.005891 0.052895
# 2-D slice -> max_value: 0.216470, min_value:-0.177838 
#
# ========================== Block 7/10 ==========================
#
# -------- Slice 1/6 --------
0.047555 -0.057045 -0.017671 0.087621 0.131658
-0.131107 -0.158689 0.057633 -0.045966 0.157884
-0.129388 0.040577 0.095692 -0.004463 -0.153817
0.083841 -0.151247 0.108796 0.194422 0.044812
0.092533 0.119739 -0.002986 -0.055297 -0.119419
# 2-D slice -> max_value: 0.194422, min_value:-0.158689 
#
# -------- Slice 2/6 --------
0.098155 -0.065233 -0.098655 0.123000 0.009933
-0.022689 0.031172 -0.181078 0.048517 -0.073353
-0.021188 0.039656 0.071032 0.068599 0.059324
0.009661 0.068481 0.073637 0.138654 -0.087445
-0.015342 0.013483 0.101122 0.008628 -0.187051
# 2-D slice -> max_value: 0.138654, min_value:-0.187051 
#
# -------- Slice 3/6 --------
0.007113 -0.128556 -0.171376 0.112931 -0.058360
0.105341 0.022081 -0.085999 0.010531 0.039517
0.000717 0.171118 -0.085065 -0.078437 -0.150632
-0.025011 0.011713 -0.002635 -0.160821 0.131687
-0.100652 -0.174764 0.088504 -0.092385 -0.166254
# 2-D slice -> max_value: 0.171118, min_value:-0.174764 
#
# -------- Slice 4/6 --------
0.197167 -0.109418 -0.032949 0.144277 0.084914
-0.024616 0.050323 -0.007165 0.080917 0.010782
-0.056110 0.002872 0.133540 -0.119218 0.044881
0.093359 -0.086806 0.046878 0.061482 -0.019722
-0.161347 -0.036222 -0.078435 0.045206 0.062164
# 2-D slice -> max_value: 0.197167, min_value:-0.161347 
#
# -------- Slice 5/6 --------
0.086792 -0.140458 -0.055744 0.067081 0.061275
0.146158 0.028526 -0.155680 0.028357 0.097202
-0.004134 0.066089 -0.014121 -0.070884 0.155751
-0.105924 -0.173867 0.026769 0.096301 -0.042347
0.000365 -0.116216 -0.027093 -0.080808 0.069751
# 2-D slice -> max_value: 0.155751, min_value:-0.173867 
#
# -------- Slice 6/6 --------
0.142810 0.077503 0.009035 0.027527 0.070477
0.079978 0.070039 -0.027595 0.143060 -0.080976
0.139772 -0.040475 -0.085061 -0.127678 -0.209285
0.037848 -0.051062 0.036517 -0.115907 -0.079778
0.147314 0.141661 -0.026525 -0.062515 -0.049989
# 2-D slice -> max_value: 0.147314, min_value:-0.209285 
#
# ========================== Block 8/10 ==========================
#
# -------- Slice 1/6 --------
-0.041053 -0.029966 0.097373 -0.122354 0.158650
0.052648 0.019123 -0.050157 0.051942 -0.194671
-0.053875 -0.010832 0.141128 0.148082 0.008199
-0.056052 0.116188 -0.114076 -0.101418 0.012659
-0.119841 -0.037934 0.082039 -0.011942 -0.139282
# 2-D slice -> max_value: 0.158650, min_value:-0.194671 
#
# -------- Slice 2/6 --------
0.051630 -0.001422 -0.049735 0.068397 -0.109752
-0.026691 0.032744 0.030354 -0.040207 -0.063187
-0.026778 0.165794 -0.049488 0.104388 0.147922
0.115738 -0.049046 0.099012 -0.188499 0.174985
0.019712 -0.083186 -0.005064 -0.000931 0.084895
# 2-D slice -> max_value: 0.174985, min_value:-0.188499 
#
# -------- Slice 3/6 --------
-0.036752 0.108246 0.079298 -0.056445 0.070855
0.194195 -0.000246 0.103411 -0.021552 -0.122441
